Date,Close,Open,Low,High
11/15/2018 16:00:00,1619.44,1581.01,1546.51,1624.82
11/16/2018 16:00:00,1593.41,1587.5,1573.12,1614.48
11/19/2018 16:00:00,1512.29,1577.01,1503.36,1581.19
11/20/2018 16:00:00,1495.46,1437.5,1420,1534.75
11/21/2018 16:00:00,1516.73,1542.99,1515,1550
11/23/2018 13:00:00,1502.06,1517,1501.81,1536.2
11/26/2018 16:00:00,1581.33,1539,1524.22,1584.81
11/27/2018 16:00:00,1581.42,1575.99,1558.01,1597.65
11/28/2018 16:00:00,1677.75,1613.92,1601.22,1681.45
11/29/2018 16:00:00,1673.57,1674.99,1652.33,1689.99
11/30/2018 16:00:00,1690.17,1679.5,1666.5,1696
12/3/2018 16:00:00,1772.36,1769.46,1730,1778.34
12/4/2018 16:00:00,1668.4,1756,1665,1770.34
12/6/2018 16:00:00,1699.19,1614.87,1609.85,1701.05
12/7/2018 16:00:00,1629.13,1705.07,1625.46,1718.93
12/10/2018 16:00:00,1641.03,1623.84,1590.87,1657.99
12/11/2018 16:00:00,1643.24,1678,1619.6,1679.47
12/12/2018 16:00:00,1663.54,1669,1660.27,1704.99
12/13/2018 16:00:00,1658.38,1680,1641.5,1692.12
12/14/2018 16:00:00,1591.91,1638,1585,1642.57
12/17/2018 16:00:00,1520.91,1566,1505.01,1576.13
12/18/2018 16:00:00,1551.48,1540,1523.01,1567.55
12/19/2018 16:00:00,1495.08,1543.05,1483.18,1584.53
12/20/2018 16:00:00,1460.83,1484,1432.69,1509.5
12/21/2018 16:00:00,1377.45,1464.99,1363.96,1480
12/24/2018 13:00:00,1343.96,1346,1307,1396.03
12/26/2018 16:00:00,1470.9,1368.89,1363.01,1473.16
12/27/2018 16:00:00,1461.64,1454.2,1390.31,1469
12/28/2018 16:00:00,1478.02,1473.35,1449,1513.47
12/31/2018 16:00:00,1501.97,1510.8,1487,1520.76
1/2/2019 16:00:00,1539.13,1465.2,1460.93,1553.36
1/3/2019 16:00:00,1500.28,1520.01,1497.11,1538
1/4/2019 16:00:00,1575.39,1530,1518.31,1594
1/7/2019 16:00:00,1629.51,1602.31,1589.19,1634.56
1/8/2019 16:00:00,1656.58,1664.69,1616.61,1676.61
1/9/2019 16:00:00,1659.42,1652.98,1641.4,1667.8
1/10/2019 16:00:00,1656.22,1641.01,1621.62,1663.25
1/11/2019 16:00:00,1640.56,1640.55,1636.22,1660.29
1/14/2019 16:00:00,1617.21,1615,1595.15,1648.2
1/15/2019 16:00:00,1674.56,1632,1626.01,1675.16
1/16/2019 16:00:00,1683.78,1684.22,1675.88,1705
1/17/2019 16:00:00,1693.22,1680,1677.5,1700.17
1/18/2019 16:00:00,1696.2,1712,1691.54,1716.2
1/22/2019 16:00:00,1632.17,1681,1610.2,1681.87
1/23/2019 16:00:00,1640.02,1656,1612,1657.43
1/24/2019 16:00:00,1654.93,1641.07,1631.78,1657.26
1/25/2019 16:00:00,1670.57,1670.5,1661.61,1683.48
1/28/2019 16:00:00,1637.89,1643.59,1614.09,1645
1/29/2019 16:00:00,1593.88,1631.27,1590.72,1632.38
1/30/2019 16:00:00,1670.43,1623,1619.68,1676.95
1/31/2019 16:00:00,1718.73,1692.85,1679.08,1736.41
2/1/2019 16:00:00,1626.23,1638.88,1622.01,1673.06
2/4/2019 16:00:00,1633.31,1623,1613.5,1649.63
2/5/2019 16:00:00,1658.81,1643.34,1642.5,1665.26
2/6/2019 16:00:00,1640.26,1670.75,1633.34,1672.26
2/7/2019 16:00:00,1614.37,1625,1592.91,1625.54
2/8/2019 16:00:00,1588.22,1586,1566.76,1588.59
2/11/2019 16:00:00,1591,1600.98,1586,1609.29
2/12/2019 16:00:00,1638.01,1604,1598.88,1639.4
2/13/2019 16:00:00,1640,1647,1637.11,1656.38
2/14/2019 16:00:00,1622.65,1624.5,1606.06,1637.9
2/15/2019 16:00:00,1607.95,1627.86,1604.5,1628.91
2/19/2019 16:00:00,1627.58,1601,1600.56,1634
2/20/2019 16:00:00,1622.1,1630,1610.12,1634.93
2/21/2019 16:00:00,1619.44,1619.85,1600.91,1623.56
2/22/2019 16:00:00,1631.56,1623.5,1621.17,1634.94
2/25/2019 16:00:00,1633,1641.45,1630.39,1654.6
2/26/2019 16:00:00,1636.4,1625.98,1616.13,1639.99
2/27/2019 16:00:00,1641.09,1628.18,1615.1,1641.81
2/28/2019 16:00:00,1639.83,1635.25,1633.83,1651.77
3/1/2019 16:00:00,1671.73,1655.13,1651,1674.26
3/4/2019 16:00:00,1696.17,1685,1674.36,1709.43
3/5/2019 16:00:00,1692.43,1702.95,1689.01,1707.8
3/6/2019 16:00:00,1668.95,1695.97,1668.28,1697.75
3/7/2019 16:00:00,1625.95,1667.37,1620.51,1669.75
3/8/2019 16:00:00,1620.8,1604.01,1586.57,1622.72
3/11/2019 16:00:00,1670.62,1626.12,1626.01,1672.29
3/12/2019 16:00:00,1673.1,1669,1660.98,1684.27
3/13/2019 16:00:00,1690.81,1683,1679.35,1700
3/14/2019 16:00:00,1686.22,1691.2,1684.34,1702
3/15/2019 16:00:00,1712.36,1703,1693.13,1718.8
3/18/2019 16:00:00,1742.15,1712.7,1712.63,1750
3/19/2019 16:00:00,1761.85,1753.51,1753.51,1784.16
3/20/2019 16:00:00,1797.27,1769.94,1767.03,1799.5
3/21/2019 16:00:00,1819.26,1796.26,1787.28,1823.75
3/22/2019 16:00:00,1764.77,1810.17,1763.11,1818.98
3/25/2019 16:00:00,1774.26,1757.79,1747.5,1782.68
3/26/2019 16:00:00,1783.76,1793,1773.36,1805.77
3/27/2019 16:00:00,1765.7,1784.13,1745.68,1787.5
3/28/2019 16:00:00,1773.42,1770,1753.47,1777.93
3/29/2019 16:00:00,1780.75,1786.58,1776.63,1792.86
4/1/2019 16:00:00,1814.19,1800.11,1798.73,1815.67
4/2/2019 16:00:00,1813.98,1811.02,1805.12,1820
4/3/2019 16:00:00,1820.7,1826.72,1809.62,1830
4/4/2019 16:00:00,1818.86,1820.65,1804.2,1828.75
4/5/2019 16:00:00,1837.28,1829,1825.19,1838.58
4/8/2019 16:00:00,1849.86,1833.23,1825.11,1850.2
4/9/2019 16:00:00,1835.84,1845.49,1831.78,1853.09
4/10/2019 16:00:00,1847.33,1841,1828.81,1848
4/11/2019 16:00:00,1844.07,1848.7,1840.31,1849.95
4/12/2019 16:00:00,1843.06,1848.4,1841.3,1851.5
4/15/2019 16:00:00,1844.87,1842,1818.9,1846.85
4/16/2019 16:00:00,1863.04,1851.35,1848,1869.77
4/17/2019 16:00:00,1864.82,1872.99,1860.44,1876.47
4/18/2019 16:00:00,1861.69,1868.79,1859.48,1870.82
4/22/2019 16:00:00,1887.31,1855.4,1845.64,1888.42
4/23/2019 16:00:00,1923.77,1891.2,1889.58,1929.26
4/24/2019 16:00:00,1901.75,1925,1898.16,1929.69
4/25/2019 16:00:00,1902.25,1917,1900.31,1922.45
4/26/2019 16:00:00,1950.63,1929,1898,1951
